pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
mobley_1019269~mobley_2929847,-33.073078,-33.065078,-32.931804,-32.885846,-33.264271,0.06610966440513834
mobley_1046331~mobley_7295828,3.653824,3.827819,3.907379,3.94523,3.911702,0.052508087500307964
mobley_9838013~mobley_511661,59.941078,61.100609,61.480984,63.301144,7.168691,7.247240071627926
mobley_9838013~mobley_9883303,27.698622,27.539445,27.196013,27.557482,27.581173,0.05622373229359836
mobley_4964807~mobley_3573480,100.7501,101.502265,102.286915,103.941411,100.281052,0.3168053482938569
mobley_1036761~mobley_2484519,71.167057,61.701917,67.524719,66.937656,63.445365,1.6550145826412042
mobley_1760914~mobley_7608462,40.60785,40.60785,40.60785,40.60785,40.60785,0.0
mobley_9434451~mobley_1563176,6.810374,7.155885,6.105623,7.686213,6.713344,0.17367613338182722
mobley_1674094~mobley_2802855,-0.263655,-0.069974,-0.185202,0.248232,0.029277,0.08931380283058156
mobley_9407874~mobley_7157427,-7.364874,12.47478,46.729679,46.729679,3.999536,7.437311111323401
mobley_1019269~mobley_8427539,-33.212256,-32.348162,-32.618407,-32.435159,-32.747135,0.15188128299806986
mobley_1019269~mobley_2146331,1.462737,1.283851,1.167558,1.054358,1.207847,0.0678849899708323
mobley_1873346~mobley_7608462,3.110662,2.280802,1.830216,2.833783,2.892459,0.23397380005645932
mobley_1017962~mobley_5816127,14.622831,13.281355,14.262541,14.253252,13.599098,0.24475325023267833
mobley_1881249~mobley_7142697,6.168712,6.190707,6.159744,6.107097,5.976963,0.03845511510917636
mobley_1963873~mobley_8011706,41.910753,41.45794,41.878633,41.543745,41.835753,0.09342035536669686
mobley_1662128~mobley_4639255,8.9953,8.92144,8.866844,8.672177,8.975279,0.057991479885410896
mobley_1019269~mobley_7015518,5.197771,-0.079285,5.587231,5.364407,4.480146,1.0636284820230228
mobley_9478823~mobley_5571660,-2.994541,-3.261881,-3.611752,-2.82612,-3.343074,0.09135516998533194
mobley_1800170~mobley_6091882,24.907812,25.014673,25.511421,25.260845,24.785895,0.12998890589215664
mobley_1034539~mobley_8311303,7.004064,42.282599,42.124389,42.124389,42.884603,7.071372488537005
mobley_9733743~mobley_1650157,-28.074412,-29.730092,-28.545718,-24.9456,-21.509623,0.993295214506364
mobley_1017962~mobley_2245668,3.935303,0.208436,1.180593,1.596647,0.366521,0.6702963201302838
mobley_1017962~mobley_7142697,0.091648,-0.30266,0.006346,-0.110479,-0.054314,0.06629416743605729
mobley_9883303~mobley_8525830,-7.108208,-6.639464,-7.437954,-7.688566,-7.311923,0.11771379795607834
mobley_1881249~mobley_9112978,32.223232,32.998914,32.942285,32.224232,32.919173,0.17921578050199646
mobley_1650157~mobley_9121449,40.629911,41.378818,40.403486,40.333269,40.894245,0.18999273735314212
mobley_9913368~mobley_1967551,19.235312,19.235312,19.235312,19.235312,19.235312,0.0
mobley_4893032~mobley_9197172,-3.334134,-2.602315,-3.201361,-3.034185,-2.971605,0.06871500207069012
mobley_9257453~mobley_4219614,41.705415,41.705415,41.705415,41.705415,41.705415,0.0
mobley_9913368~mobley_3370989,-19.240429,-19.240429,-19.240429,-19.240429,-19.240429,0.0
mobley_1722522~mobley_6619554,1.993849,2.033589,2.107703,2.087688,2.105732,0.02240978241170583
mobley_1662128~mobley_5157661,-16.502415,-15.754716,-15.979135,-15.762121,-15.854459,0.13900686358680256
mobley_1019269~mobley_7610437,9.652012,9.81584,9.7809,9.618929,8.841722,0.17895131639459919
mobley_7157427~mobley_7610437,7.492157,15.426475,-41.714215,-44.947434,-34.787776,3.617070087590584
mobley_9733743~mobley_6060301,7.359962,8.802306,3.912996,4.745827,5.243578,0.6000423873027044
mobley_9794857~mobley_7983227,17.829427,18.172431,18.005135,17.949577,18.199208,0.04624257668983798
mobley_9434451~mobley_6911232,1.415027,1.462522,1.910588,1.617115,2.454685,0.12758101222475596
mobley_1017962~mobley_1903702,-6.033179,-9.252094,-8.021279,-9.677813,-8.831715,0.6435741611357623
mobley_9883303~mobley_7203421,-47.936747,-48.129945,-47.84,-47.43176,-47.115875,0.12231465376671372
mobley_1571523~mobley_3969312,25.015749,26.087303,26.080308,25.465559,26.386544,0.24817315942877471
mobley_1650157~mobley_1967551,17.439348,16.871907,18.117656,17.835627,17.488955,0.20971339382991247
mobley_9733743~mobley_1977493,4.241979,3.128415,3.409228,3.590466,3.020525,0.1439548597672355
mobley_1231151~mobley_3999471,5.976963,5.976963,5.976963,5.976963,5.976963,0.0
mobley_1563176~mobley_299266,17.706511,16.848714,16.397349,16.384554,17.179231,0.24993491969098666
mobley_1571523~mobley_8691603,-16.574657,-16.353214,-16.43674,-16.330651,-16.449533,0.04307755130575518
mobley_1424265~mobley_1905088,6.219467,7.167916,5.930803,6.053313,6.791688,0.23566059682021512
mobley_9794857~mobley_8765203,56.850212,56.528273,61.821026,56.235031,61.492349,0.8391333018687901
mobley_1881249~mobley_6812653,11.86284,12.371962,11.635128,11.98173,12.00866,0.11975117106901292
mobley_1674094~mobley_2213823,-7.816624,-7.699954,-7.666833,-8.35752,-8.042982,0.1283933280570294
mobley_9434451~mobley_1717215,5.730747,5.631355,5.565133,5.427775,5.864199,0.05286436514177229
mobley_9794857~mobley_778352,43.935283,44.683641,44.549458,44.7215,45.386441,0.15415575220097646
mobley_1017962~mobley_5627459,15.725471,14.882007,21.377014,18.140962,15.721627,1.1845060709964046
mobley_1328465~mobley_3761215,-3.18611,-3.18611,-3.18611,-3.18611,-3.18611,0.0
mobley_1019269~mobley_2049967,0.216576,0.152,-0.086696,0.240916,0.437948,0.08448624836173044
mobley_1923244~mobley_8118832,12.347178,12.523608,12.395164,12.608206,12.486092,0.03209120411860889
mobley_1563176~mobley_5759258,-3.901265,-4.553285,-3.128209,-4.425819,-4.251181,0.25561799692478615
mobley_1019269~mobley_1636752,-0.324188,-2.641321,-0.022195,-1.299142,0.511564,0.5559264307786238
mobley_1019269~mobley_8525830,4.541213,3.486107,2.558334,4.151287,2.857757,0.3745603868237537
mobley_9624458~mobley_9733743,6.238913,6.238913,6.238913,6.238913,6.238913,2.9605947323337506e-16
mobley_1019269~mobley_2213823,11.009727,10.79893,10.684441,10.776849,10.980572,0.06242223322775311
mobley_929676~mobley_8525830,-3.371489,-3.626045,-3.950474,-3.727332,-3.567902,0.06344516959762271
mobley_1019269~mobley_1893937,7.605197,8.187443,7.990153,7.401189,7.904506,0.1401114097772198
mobley_1827204~mobley_8573194,-0.355237,-1.058896,-1.065017,-0.791982,-0.777934,0.12944979287020897
mobley_1792062~mobley_9434451,-5.183254,-4.393579,-4.896333,-3.928078,-4.106111,0.236376162487464
mobley_1563176~mobley_2245668,0.862688,1.543634,1.649224,1.340501,1.847906,0.16788460561814475
mobley_9671033~mobley_9185328,173.595413,174.430999,174.21743,173.81721,172.814967,0.1874848332228402
mobley_2484519~mobley_1987439,-35.005089,17.279674,-7.924958,29.511346,-13.06232,11.426633664245115
mobley_1019269~mobley_129464,6.514776,6.577457,6.947798,7.620775,6.95255,0.19677707595230698
mobley_1893815~mobley_5973402,102.191891,175.300618,175.300618,17.021992,-26.506368,16.712572310907653
mobley_8772587~mobley_1903702,-8.517878,-8.456042,-9.265874,-9.144934,-9.86906,0.26099907956649954
mobley_1036761~mobley_852937,51.156169,49.625742,51.490894,49.994866,47.228631,0.7526397173760226
mobley_1017962~mobley_6060301,-3.296096,-3.611939,-3.540663,-4.189741,-3.516378,0.1493342703087941
mobley_9705941~mobley_3323117,-73.517096,-69.128196,-75.69472,-76.384526,-73.001709,0.8496836665016659
mobley_9201263~mobley_2279874,79.381994,78.81314,79.403089,79.381994,79.403089,0.10223458891414541
mobley_7099614~mobley_1977493,-15.271093,-1.387207,-43.141906,-5.890463,-25.78381,6.011124945328728
mobley_9794857~mobley_2143011,28.678982,29.440523,30.094062,29.640919,28.145218,0.23264816279136089
mobley_1662128~mobley_186894,-15.246751,-15.954707,-16.22692,-16.104197,-15.882991,0.16987697005021013
mobley_1735893~mobley_3573480,21.216029,21.24832,21.078505,21.146277,21.261091,0.03426039070063262
mobley_1017962~mobley_8573194,3.443599,2.699227,3.429808,3.874996,2.644668,0.23719561898074762
mobley_1650157~mobley_4043951,38.957137,38.704242,39.435154,39.522014,39.190563,0.15108774103050113
mobley_4506634~mobley_5952846,-5.694219,-5.694219,16.944352,-2.858674,2.850491,2.8321088205308964
mobley_9624458~mobley_9112978,2.923676,2.923676,2.923676,2.923676,2.923676,0.0
mobley_9740891~mobley_7814642,2.193093,2.193093,2.193093,2.193093,2.193093,0.0
mobley_1563176~mobley_900088,40.080992,42.976412,41.216628,42.676563,42.279668,0.5323108331393981
mobley_9257453~mobley_7608462,24.935845,24.935845,24.935845,24.935845,24.935845,0.0
mobley_4035953~mobley_8691603,-19.89739,-20.103136,-20.326808,-19.948843,-20.104054,0.07499948878252416
mobley_1592519~mobley_2607611,-11.091118,-10.447902,-10.598352,-10.388801,-10.753967,0.14566993156524174
mobley_9883303~mobley_2929847,-45.709837,-45.378089,-45.978437,-45.443004,-45.531052,0.0720490655451466
mobley_1967551~mobley_2310185,-1.042084,-1.681389,-1.138772,-1.391059,-1.665412,1.760167474558375
mobley_1967551~mobley_1636752,10.982789,10.843935,11.0119,11.086428,10.765978,0.058282808886497506
mobley_1923244~mobley_2068538,-1.588465,-1.387462,-1.273858,-1.409303,-1.643203,0.06802438427314136
mobley_9478823~mobley_3682850,-66.133002,-62.45786,-68.313749,-67.979371,-66.444871,0.6941106131792801
mobley_9121449~mobley_9112978,-18.828058,-19.26849,-18.591007,-18.842548,-19.052736,0.11438832185341279
mobley_1017962~mobley_8614858,2.507381,2.322378,2.292572,2.527325,2.131354,0.07344645469660192
mobley_1873346~mobley_8127829,3.587463,4.028964,3.463577,3.867814,3.374991,0.123347230040808
mobley_1178614~mobley_4035953,-1.934197,-1.934197,-1.934197,-1.934197,-1.934197,0.0
mobley_6896128~mobley_5079234,-8.563217,-9.113825,-9.06409,-8.816504,-8.675643,0.10703949619434874
mobley_1036761~mobley_7608462,64.752594,63.917324,61.782461,61.657219,63.353381,0.6033464717957179
mobley_1017962~mobley_7157427,1.363899,1.15285,1.002803,0.875502,0.902384,0.09031285185431803
mobley_1363784~mobley_63712,-32.850778,-36.405104,-36.405104,-36.771927,-39.497897,1.0566779777120847
mobley_1905088~mobley_9100956,-49.035385,-49.052012,-49.630371,-49.599746,-50.204962,0.21683825721661829
mobley_1977493~mobley_7768165,2.010335,2.010335,2.010335,2.010335,2.010335,0.0
mobley_9617923~mobley_4375719,9.519355,9.543764,9.540497,9.081917,9.579082,0.06216394966323581
mobley_9624458~mobley_1662128,-11.755956,-11.755956,-11.755956,-11.755956,-11.755956,0.0
mobley_1046331~mobley_2354112,-17.623698,-18.057925,-17.69061,-17.979039,-17.783969,0.08313477124368608
mobley_3982371~mobley_2996632,18.010166,17.952843,17.019591,18.010166,17.019591,0.7467399175907683
mobley_9838013~mobley_5157661,18.873412,18.498765,18.76276,18.454301,18.868225,0.06015015184633997
mobley_1036761~mobley_9139060,13.784702,13.084511,13.346381,13.263501,13.592612,0.12351253293921241
mobley_1036761~mobley_8127829,-34.184717,-50.675345,-40.163618,-62.455507,-76.351204,7.6111869702534785
mobley_1019269~mobley_2198613,-2.933112,-1.65918,-2.026599,-0.466542,-1.174286,0.41322785721153893
mobley_1046331~mobley_3727287,36.845006,36.20812,36.798459,36.218214,37.065446,0.17488941303349342
mobley_1571523~mobley_1760914,16.372248,16.49511,16.626507,16.404394,16.722534,0.06636723787954421
mobley_1019269~mobley_2294995,-0.018241,0.453254,0.501557,0.146727,0.311341,0.09664117845080325
mobley_1662128~mobley_1967551,-15.432484,-15.157871,-14.329924,-14.872862,-15.279073,0.19416106029361302
mobley_9185328~mobley_1199854,0.968557,0.880886,0.929868,0.488921,0.709621,0.08850426956627572
mobley_1923244~mobley_9246215,42.721727,39.146582,39.50408,40.383945,38.020562,0.7885965467702355
mobley_1160109~mobley_9653690,11.204892,11.718881,11.423422,11.683865,11.717876,0.06827139910204803
mobley_9942801~mobley_7009711,-64.49051,-39.456091,-47.449338,-50.180323,-57.4557,2.8556356951710034
mobley_1674094~mobley_2178600,-12.843048,-12.76318,-12.384587,-12.63727,-12.555967,0.08020465495256489
mobley_1893937~mobley_929676,-11.247922,-11.247922,-11.247922,-11.247922,-11.247922,0.0
mobley_1728386~mobley_1873346,18.176207,18.414569,18.167304,18.535979,17.911167,0.10852599668761419
mobley_1019269~mobley_8705848,-31.99357,-31.99936,-30.918921,-31.433339,-31.044474,0.22805014555562064
mobley_9626434~mobley_4690963,-3.827325,-3.805603,-3.768117,-3.300651,-3.529796,0.06766474400013975
mobley_9838013~mobley_6854178,6.200058,6.762208,6.455566,5.7656,5.861058,0.12334062918312397
mobley_1571523~mobley_9139060,-6.841702,-18.834044,-11.746359,-16.513428,-10.858317,2.126673484891298
mobley_1893937~mobley_8467917,-11.247922,-11.247922,-11.247922,-11.247922,-11.247922,0.0
mobley_1717215~mobley_8048190,-64.541746,-64.847418,-64.685734,-64.914872,-64.316913,0.10780335047001144
mobley_2341732~mobley_2958326,-3.223457,-3.496579,-2.95555,-3.239338,-3.239338,0.20308458856323625
mobley_1875719~mobley_9112978,13.34808,13.289215,13.222922,13.08654,14.238173,0.20497279688509884
mobley_1563176~mobley_1662128,22.87009,22.366644,23.03418,22.150273,22.801086,0.1656388843018452
mobley_994483~mobley_1923244,4.637332,4.432524,5.609774,4.934839,5.321346,0.14391870272005033
mobley_1674094~mobley_1899443,3.290997,3.226882,3.717873,3.590969,3.483505,0.09140266676437839
mobley_9624458~mobley_8118832,-2.004679,-2.004679,-2.004679,-2.004679,-2.004679,0.0
mobley_1520842~mobley_6309289,-24.969783,-26.262652,-24.523818,-26.041935,-26.527119,0.38911053011022456
mobley_1674094~mobley_7983227,1.430256,2.425917,1.814281,1.333817,1.699261,0.1541249091015502
mobley_1019269~mobley_5759258,1.087413,1.38263,1.307071,1.539267,1.139672,0.08204829237138332
mobley_994483~mobley_3999471,-2.55504,-2.629778,-2.454205,-2.62835,-2.733527,0.030839128514131387
mobley_1662128~mobley_8525830,-22.00844,-22.376593,-22.794473,-22.576768,-22.284531,0.13298929941126844
mobley_9838013~mobley_299266,48.853188,49.379557,51.002531,49.698867,49.997026,0.2388586598624006
mobley_1017962~mobley_2881590,-170.943033,-172.156286,-173.493547,-171.550007,-169.712911,0.6279340943575541
mobley_1017962~mobley_9246215,49.815868,49.456135,50.072555,49.326659,50.1423,0.1623340645239314
mobley_1571523~mobley_2354112,-4.888306,5.756548,0.190334,10.728787,1.573465,2.635810360078786
mobley_1502181~mobley_2197088,10.993244,11.134984,11.484847,11.112577,11.397147,0.09263010818810481
mobley_9838013~mobley_8525830,20.446905,19.935801,21.026944,20.902948,20.812111,0.131701486522514
mobley_9478823~mobley_6175884,1.241065,2.008275,1.720565,1.982945,1.884366,0.0939720405138086
mobley_5571660~mobley_5072416,29.236987,17.303313,11.130357,26.865569,16.270177,3.4072142338499583
mobley_1903702~mobley_8337977,-5.632785,-5.146786,-5.412355,-5.688098,-5.603099,0.09900174918283021
mobley_1827204~mobley_1735893,-30.854335,-30.732715,-30.592048,-30.586753,-30.789762,0.05329481037268056
mobley_1019269~mobley_8011706,7.234679,4.845736,7.600612,8.381549,4.978758,0.7170594379594623
mobley_1017962~mobley_8522124,15.839977,16.287575,16.865943,16.313105,17.214844,0.24088469614493993
mobley_1967551~mobley_7532833,19.472257,19.694257,19.650692,19.736679,19.798671,0.05525599678623124
mobley_9434451~mobley_7578802,0.016932,0.134607,0.326143,0.27488,0.086264,0.03860042428172116
mobley_1502181~mobley_4375719,10.0122,9.925225,9.980679,10.170841,10.05967,0.04149898444661023
mobley_5759258~mobley_3006808,40.436771,36.460758,39.526059,39.410931,35.634205,0.37646243008542296
mobley_9942801~mobley_4715906,-50.924172,-50.634361,-51.49627,-50.748535,-51.400917,0.11559995606631283
mobley_9733743~mobley_9434451,-7.672546,-5.201695,-5.509774,-6.135691,-8.09833,0.3865977198052777
mobley_9434451~mobley_2049967,1.578047,1.589637,1.26993,1.955951,1.873426,0.0812050332237
mobley_1827204~mobley_4043987,1.765425,1.961165,1.688284,1.759425,2.091935,0.07494875542822575
mobley_9733743~mobley_900088,43.476518,45.166669,44.905747,44.734938,43.593223,0.23363941123316004
mobley_1650157~mobley_3034976,-14.703123,-14.395501,-14.572791,-14.599985,-14.238859,0.08235535699054443
mobley_1873346~mobley_1905088,1.555523,1.824149,2.175203,1.308301,2.667612,0.12264968271365856
mobley_1899443~mobley_778352,6.485245,6.727069,6.466485,6.325292,6.288438,0.07732199491438384
mobley_9883303~mobley_4759887,-3.796251,-3.800029,-4.189014,-3.760229,-3.502947,0.0731358396878333
mobley_1827204~mobley_7203421,-45.425133,-45.310063,-45.381459,-45.220403,-45.11757,0.055497641378350795
mobley_6812653~mobley_2864987,-14.872424,-15.136613,-15.117708,-15.170891,-14.604561,0.10780922317900254
mobley_1502181~mobley_819018,51.042911,51.167971,50.234061,51.359237,49.355924,0.3207869813347255
mobley_9733743~mobley_3738859,5.224976,5.097216,5.522841,5.195127,5.47841,0.055611263399902425
mobley_1903702~mobley_2143011,31.177819,31.025334,31.289986,30.914177,31.209139,0.06762198006491678
mobley_1923244~mobley_9733743,-4.909804,-5.08849,-4.82505,-4.703441,-4.903474,0.06281594095323263
mobley_1520842~mobley_8861672,-18.599771,-18.657724,-19.161234,-19.112565,-18.934755,0.11472566638350788
mobley_2043882~mobley_349850,-34.952118,-28.247602,-22.743909,-2.086576,-15.409369,5.651178313229245
mobley_1899443~mobley_5449201,-16.657505,-16.755734,-17.191438,-16.966225,-16.899309,0.09185895787205535
mobley_1017962~mobley_4762983,14.123442,14.698663,14.505412,14.215721,14.376659,0.10247337670761106
mobley_1019269~mobley_6474572,28.65672,25.560424,27.243156,25.987766,24.400921,0.7304203513140634
mobley_1571523~mobley_9100956,-48.410773,-45.795382,-40.84815,-47.239637,-51.499115,1.7506393517783334
mobley_9733743~mobley_627267,3.623356,2.682374,4.115256,1.109123,1.558756,0.38457386584715053
mobley_1662128~mobley_627267,-13.48822,-13.613159,-13.714764,-13.373841,-13.759557,0.07139181002425964
mobley_1650157~mobley_8765203,69.551427,68.270363,70.712542,68.677907,68.945968,0.4247126473608475
mobley_9624458~mobley_2143011,-31.911466,-31.911466,-31.911466,-31.911466,-31.911466,0.0
mobley_9507933~mobley_2789243,20.752683,20.730688,20.969358,20.479909,19.800584,0.13466588061463655
mobley_6861308~mobley_7463408,1.661605,2.278876,0.96033,3.118149,0.96033,0.23981669146603526
mobley_1977493~mobley_8260524,9.17318,9.17318,9.17318,9.17318,9.17318,0.0
mobley_1650157~mobley_7227357,28.054136,27.932318,27.71883,27.839336,27.247131,0.13914374786112377
mobley_994483~mobley_5157661,2.319015,1.996177,2.034492,1.929767,2.002039,0.04523135377834959
mobley_1261349~mobley_299266,31.202435,31.006197,31.076855,30.829816,32.356178,0.27221821374834554
mobley_1231151~mobley_4465023,-5.794122,-5.794122,-5.794122,-5.794122,-5.794122,0.0
mobley_2068538~mobley_1800170,-3.310233,-3.077093,-3.264189,-3.188299,-3.18611,0.039732296312194194
mobley_1923244~mobley_1231151,-6.582134,-6.951224,-6.878021,-7.44977,-7.084103,0.14153389477104059
mobley_9897248~mobley_36119,-51.020004,-51.760467,-51.247579,-51.5766,-51.529663,0.08717257934327716
mobley_20524~mobley_4483973,20.996086,20.503565,20.725157,20.742396,20.059024,0.15726445483089904
mobley_9671033~mobley_1952272,-4.974008,-5.994334,-4.754929,-6.603795,-6.482044,0.254566494443746
mobley_9257453~mobley_2126135,-31.911466,-31.911466,-31.911466,-31.911466,-31.911466,0.0
mobley_1019269~mobley_1075836,8.728276,8.678479,8.555494,8.665165,8.805783,0.04102173923982262
mobley_6911232~mobley_3573480,-7.642498,-8.280068,-8.02743,-7.642498,-8.02743,0.11508373903323046
mobley_1803862~mobley_8221999,8.342864,8.087523,7.898166,8.081568,7.910476,0.08052874005570941
mobley_9624458~mobley_1803862,54.588887,54.588887,54.588887,54.588887,54.588887,0.0
mobley_929676~mobley_9015240,3.652245,4.456915,3.911015,4.066825,4.155082,0.08874663760506338
mobley_929676~mobley_6619554,-6.978203,-7.148501,-6.878063,-7.376271,-7.574072,0.08512576217756357
mobley_1662128~mobley_6632459,-7.39325,-7.301073,-7.143853,-7.145027,-7.478035,0.06651736347120207
mobley_1075836~mobley_7758918,-32.803958,-32.548057,-33.380985,-32.900542,-32.913401,0.13493955364406723
mobley_9942801~mobley_5616693,-46.371471,-46.859513,-46.627525,-46.706654,-46.57242,0.053474821151474845
mobley_1893937~mobley_2792521,9.330842,9.330842,9.330842,9.330842,9.330842,0.0
mobley_1017962~mobley_7573149,-20.101481,-20.221427,-19.522926,-19.891279,-19.729904,0.1254762608155821
mobley_9794857~mobley_1899443,43.998912,44.305248,44.446602,44.357727,44.263658,0.05023445944838188
mobley_1674094~mobley_9197172,-19.522785,-19.875598,-20.698664,-20.616249,-19.741066,0.23841791875540752
mobley_1261349~mobley_778352,39.14785,39.790842,39.54945,39.200597,39.19227,0.12624459031118881
mobley_1328465~mobley_6190089,-20.998696,-20.998696,-20.998696,-20.998696,-20.998696,0.0
mobley_1674094~mobley_5310099,-20.936332,-21.217823,-20.669584,-21.179863,-21.160736,0.06887356716399497
mobley_1893937~mobley_7977115,-13.694991,-13.694991,-13.694991,-13.694991,-13.694991,8.881784197001252e-16
mobley_1674094~mobley_1735893,-77.096432,-76.68468,-77.662248,-77.222004,-77.255846,0.15689417220534463
mobley_9624458~mobley_9434451,6.238913,6.238913,6.238913,6.238913,6.238913,2.9605947323337506e-16
mobley_1363784~mobley_8764620,-17.921541,-17.905396,-17.822818,-17.794972,-17.69688,0.040650768329270254
mobley_9733743~mobley_1881249,-4.964304,-4.943461,-4.591521,-4.791703,-4.681423,0.04830861022109139
mobley_1899443~mobley_8337977,-43.438216,-43.646381,-44.053034,-43.738253,-43.769788,0.0995310141637268
